semester,years,subj1,subj2,subj3,subj4,subj5,subj6,subj7,Final_Grade
2,2020,B+,C+,C+,B,C+,C,B,B
3,2021,B,C,B,C+,B,B+,C+,B
2,2020,F,F,F,F,F,F,F,F
3,2021,F,F,F,F,F,F,F,F
2,2022,S,S,A+,A,S,A+,S,S
3,2021,B+,F,C,P,C,D,F,F
3,2021,A,B+,B+,B,C+,A,B+,A
2,2022,F,F,F,F,F,F,F,F
1,2023,C,B,B,A,B+,C+,B+,B+
3,2020,B,S,P,B+,B+,B+,S,A
3,2021,B,A,B+,A,A,A,C+,A
2,2020,P,C+,P,D,D,F,P,P
3,2023,F,F,F,F,P,F,F,F
3,2020,F,F,F,F,F,F,F,F
2,2020,B+,B+,B+,B+,A,B+,A,A
3,2023,D,C,C+,C,B,C,P,C+
2,2022,S,S,S,S,A+,S,S,S
1,2022,F,F,F,F,F,F,F,F
3,2021,B,C,C,C+,C+,C,D,C+
2,2021,C,D,D,D,D,C,D,C
1,2023,S,S,F,S,S,C,S,B+
2,2021,C+,B+,B,B+,B+,C+,B,B+
1,2022,C+,B,C+,C,C+,C,C+,B
3,2020,P,P,P,F,C,P,F,F
2,2022,F,F,F,F,P,F,F,F
3,2022,S,C,B+,F,D,P,D,C
2,2022,F,A+,C,B,B,F,F,F
1,2022,A,C+,P,S,S,S,C+,A
2,2023,S,A+,A,S,S,A+,S,S
3,2023,B+,A,B+,B,B,B+,B+,A
3,2022,P,D,D,D,P,F,F,F
2,2021,D,P,P,C,P,C,D,D
3,2023,S,B+,S,S,S,S,S,S
1,2021,B,C+,B,B+,D,C+,B,B
1,2021,S,D,S,S,B,S,S,S
1,2020,F,C,F,F,F,B,F,F
2,2022,D,F,D,P,P,P,D,F
2,2021,F,F,F,F,F,F,F,F
2,2021,F,F,F,F,F,F,F,F
1,2022,C,D,D,B,C,C,B+,C+
1,2020,C+,C+,C+,D,C+,C+,C,C+
3,2021,B,C+,C,C+,B,B,C,B
3,2021,B+,A,C+,C+,B,A,B+,B+
2,2022,S,S,A+,S,S,A,S,S
3,2021,S,S,S,S,S,S,S,S
2,2020,F,F,F,F,P,F,F,F
2,2021,B+,C+,D,C,C,D,C,C+
1,2020,C,C+,C,B,C,P,C+,C+
3,2021,F,C,P,F,F,D,P,F
1,2023,C,C,D,C,D,C,D,C
1,2022,D,F,C,F,F,C+,F,F
2,2020,F,F,F,F,F,F,F,F
2,2020,D,P,F,F,F,P,P,F
1,2021,B,B,B+,B+,B,B+,A,B+
1,2022,B,D,C+,C+,C,D,F,C
3,2021,S,S,S,S,S,S,S,S
1,2022,F,B,F,F,C,F,F,F
2,2023,P,P,C,D,P,D,C,D
2,2023,A,A+,A,A,A+,A,S,A+
1,2020,F,F,F,F,F,F,F,F
3,2021,C+,C,C,A,A+,A,A,B+
1,2023,B+,D,B+,A,S,C,S,A
1,2022,D,S,B,A,S,B+,S,A
1,2020,S,A+,S,A+,A+,A,A+,S
3,2020,F,F,F,C,F,F,F,F
3,2023,D,D,D,F,F,F,F,F
2,2021,P,F,P,P,P,D,P,F
3,2023,C,B,B,B+,C+,C+,C,B
1,2022,B,C+,C,D,C+,C,D,C+
1,2022,P,F,F,C,D,P,D,F
2,2023,P,F,P,F,P,F,F,F
1,2023,B+,B+,A+,A+,A,B+,B+,A
2,2021,P,D,P,P,C,C,D,D
2,2023,S,S,S,S,S,S,S,S
1,2022,P,F,P,C,F,F,P,F
3,2023,F,F,P,F,F,F,F,F
1,2023,A+,S,S,A+,S,S,S,S
3,2023,C+,A,D,C+,B,B+,C+,B
1,2020,S,B+,B+,A+,S,S,A+,S
2,2021,B,C+,B,C+,C+,C+,C,B
2,2020,S,S,S,A+,S,A+,S,S
2,2023,P,P,P,F,D,D,P,F
2,2023,F,C,B+,A,P,F,C+,P
3,2023,D,C+,C+,D,C,B+,B,C+
2,2023,S,S,S,S,S,S,A+,S
2,2020,S,S,S,S,S,A+,S,S
1,2020,B,C+,D,C+,B,B,C+,B
2,2021,B,C+,B,B,A,B+,B+,B+
2,2020,F,D,P,F,F,C,D,F
2,2023,D,C,C,F,F,D,D,F
2,2020,A+,S,S,S,S,S,A,S
2,2023,F,F,F,F,F,F,F,F
1,2020,P,D,D,C,D,F,D,D
1,2023,B+,B,A,A,B+,B,A+,A
2,2023,F,F,F,F,F,F,F,F
2,2022,B+,A+,A,B+,B+,A,B,A
3,2021,F,F,F,P,F,F,F,F
3,2021,C+,B,P,C+,C,D,C,C+
3,2022,B+,C+,A,A,A,B+,B+,A
1,2020,F,F,F,F,F,F,F,F
2,2020,D,S,B,F,B+,C,A,C
1,2021,S,A+,A,S,S,A,B+,S
2,2022,P,F,C+,C,C,P,P,P
2,2023,S,B+,S,C+,B+,S,A+,A+
3,2021,A+,A+,S,A+,S,A+,S,S
1,2023,C+,B,A,B,B+,B,B,B+
1,2021,F,F,F,F,P,F,D,F
2,2021,C+,S,F,S,F,F,A+,D
1,2020,S,A+,S,S,A+,S,A+,S
3,2020,F,F,F,F,F,F,F,F
2,2020,B,C+,C,C+,C+,B,C+,B
1,2022,A,B,C+,B+,B,B+,B+,B+
1,2022,S,S,S,S,S,S,S,S
1,2021,B+,B+,A,A,A,S,A+,A+
3,2021,P,C,D,D,C,P,D,C
2,2023,B,B+,B+,C,B,C+,C,B
1,2020,F,F,F,F,F,F,F,F
1,2023,F,F,F,F,F,F,F,F
3,2020,P,B,F,D,P,P,P,P
2,2023,B+,C+,B,B+,B+,B+,B,B+
3,2023,D,P,P,B+,C,F,C,D
1,2022,B+,C,C+,B,B,B,B+,B
2,2020,P,P,P,P,P,P,D,D
2,2023,P,D,P,C,D,P,D,D
2,2022,S,C,D,A+,A,B+,S,A
2,2023,S,S,A+,S,S,S,S,S
1,2022,C+,C,B,C,B+,C,P,C+
2,2022,B,B,B+,C+,C,B+,B,B+
3,2020,P,P,F,F,F,F,P,F
3,2020,B+,B+,F,P,B,F,A,P
3,2023,C+,C+,C+,C,B,B,C+,B
2,2021,B+,S,S,S,A,S,A+,S
1,2020,B+,C+,B,B,B+,B+,B,B+
3,2022,D,C,C,C+,C+,C,C,C+
3,2021,F,F,P,F,F,F,D,F
3,2020,D,F,P,C,P,D,P,F
1,2023,C+,C+,B,C+,C,C+,C+,B
2,2022,D,F,F,P,F,C,D,F
1,2020,B+,A,B+,B,A,B+,A,A
2,2023,F,F,F,F,F,F,F,F
2,2020,D,P,F,F,F,P,P,F
2,2021,F,P,F,F,P,F,F,F
2,2020,D,C,D,C,D,P,D,C
2,2020,C,B,D,C,C+,C+,D,C+
3,2020,P,F,F,F,F,F,F,F
2,2023,B,B+,C+,B+,B,B,C+,B+
1,2021,S,B,S,A+,S,S,S,S
3,2023,D,F,F,B,C+,P,F,F
1,2023,F,F,F,F,F,F,F,F
3,2020,C,D,C,D,D,C,C,C
1,2020,B,A+,A,A,A,B+,A,A
1,2020,B,C+,B+,A,B,B,B+,B+
3,2023,F,P,F,F,P,F,F,F
3,2023,S,A+,S,C,C+,S,C,A+
1,2021,B+,D,B+,B,B,B+,B,B+
3,2023,A+,B+,B+,A+,B+,A,A+,A+
2,2021,B,C,C,C,C+,C,D,C+
2,2023,P,F,F,F,C,P,D,F
3,2022,F,F,F,F,F,F,F,F
1,2021,C+,B+,B,B,C+,C+,B,B
2,2020,C+,B,P,B,C+,C,B,C+
1,2022,F,P,P,F,F,F,P,F
1,2022,B+,B+,A,B+,B+,B+,B,A
2,2021,C,B,B,D,D,C+,C+,C+
2,2022,S,S,A+,S,S,S,S,S
1,2022,P,D,F,F,F,D,F,F
3,2020,P,C,P,C,C,D,C,C
3,2020,S,S,B+,S,S,S,A+,S
2,2023,D,D,C,B,D,C,C+,C+
2,2020,F,F,F,F,F,P,F,F
3,2022,P,F,P,P,C,D,P,F
3,2020,C,C,C+,C+,C+,B,B,C+
1,2020,A+,S,A+,S,S,A+,S,S
1,2020,B+,A,B,A,B,B+,B,A
2,2020,D,D,D,P,P,P,D,D
2,2021,C+,C,B,C,C,C,B+,C+
2,2023,D,D,C+,D,C,P,D,C
1,2022,C,C+,C+,B,C+,B,C+,B
3,2023,A+,S,S,B,A,A,A,S
1,2022,C+,P,C+,C,B,D,C,C+
2,2021,F,F,D,F,F,F,F,F
1,2023,B+,B,C+,A,B+,A,B+,B+
2,2021,S,S,S,A,A+,A+,S,S
1,2023,F,C,F,F,F,A,F,F
2,2023,F,D,F,D,C,F,D,F
1,2021,C,D,C,C,D,C,C+,C
3,2021,B+,C+,C,C+,C,C+,C+,B
2,2022,A+,C+,C,S,B,C+,S,A
1,2023,F,F,F,F,F,F,F,F
2,2020,P,D,P,P,P,C+,P,D
3,2020,S,A+,A+,S,S,S,B+,S
3,2020,F,F,F,F,F,F,F,F
2,2023,P,F,F,P,D,F,F,F
1,2021,A+,A,A+,A+,A+,S,A+,S
1,2020,C+,C,C+,C+,C+,B,B,B
2,2022,F,F,P,D,F,F,F,F
2,2021,C,D,P,P,C,F,P,P
1,2023,C+,B,B+,B+,B+,A,B,B+
2,2020,B,B+,B+,B+,A,B+,B,B+
2,2023,F,F,F,F,F,F,F,F
1,2020,S,P,A+,C,F,S,B,B
3,2020,A,A,A,B+,A,B+,B+,A
2,2023,S,S,A+,A+,S,S,S,S
1,2023,F,P,F,F,F,F,F,F
2,2023,F,F,S,S,A+,B+,A+,C
3,2021,S,A+,S,S,S,A+,A+,S
2,2021,C,C+,B,D,D,D,P,C+
3,2023,F,F,P,P,F,F,F,F
2,2022,B+,B,B+,C+,B+,B+,B+,B+
1,2021,A,A,B+,B+,B+,B+,B+,A
3,2023,F,F,C+,C+,F,C,A,F
2,2020,S,S,A+,S,S,S,A,S
3,2021,C,C,D,C,P,D,P,C
1,2022,F,F,F,F,F,P,P,F
1,2022,B,B,B,B,C+,B,B,B+
3,2021,B,B,B,B,C+,C,B,B
3,2023,D,D,C,C,D,C,D,C
1,2021,S,S,C+,D,B+,S,C,A
3,2020,B,C,B,C+,B,B+,B+,B
3,2020,F,P,D,F,P,P,P,F
2,2022,A,C+,B+,A,B,A+,A,A
1,2023,S,S,S,S,S,S,S,S
3,2022,D,B,C+,D,C,C+,C,C+
2,2021,S,S,A+,A,S,S,S,S
2,2021,S,S,S,S,A+,S,A+,S
2,2021,A,B+,B,B+,B+,B+,C+,B+
2,2020,S,S,A+,S,S,S,A+,S
3,2021,C+,C,C+,C+,C,B,D,C+
3,2023,P,F,C,F,D,F,F,F
3,2023,D,B,B,C,C+,D,C,C+
2,2023,B,C+,B+,A,B+,C+,C+,B+
1,2020,B,C+,A+,B+,B,C+,C,B+
3,2022,F,F,F,F,F,F,F,F
2,2021,F,F,F,F,F,F,F,F
3,2020,P,F,C+,P,P,C+,C,P
1,2021,C+,C+,P,C,B+,C+,F,C
2,2021,D,F,P,P,D,D,F,F
3,2023,F,F,F,F,C+,P,F,F
2,2022,B,F,F,D,F,A+,B+,F
1,2022,B+,B+,B,B+,C+,A+,A,A
2,2021,B,C,C+,B,C+,C,D,B
2,2021,P,P,P,D,C,D,C,D
1,2022,D,P,F,F,D,F,D,F
1,2020,B,C,S,F,A,A,D,C+
3,2022,A+,B+,S,B+,A,A+,A+,A+
3,2022,F,F,F,F,F,P,F,F
3,2022,S,S,S,A+,S,A+,S,S
3,2020,F,P,F,F,F,F,F,F
3,2023,F,F,F,F,F,F,F,F
1,2021,C,B,D,C+,A,C+,C,C+
1,2020,A,A+,A+,A,B+,A+,B+,A+
1,2022,A+,B,S,S,S,B+,A,S
3,2021,D,D,D,P,F,P,D,P
3,2021,A+,A+,A+,A+,B+,A,B+,A+
3,2023,B,A+,A+,B+,B+,A,B+,A
2,2020,D,D,C,D,B,B,C+,C+
2,2023,B,B,A,B+,A,A,B+,A
2,2023,F,F,F,D,F,F,D,F
3,2023,A,A+,A,B+,B+,A+,A,A+
1,2023,C,C+,P,C+,D,C,D,C
1,2020,F,F,F,F,F,F,F,F
1,2021,D,D,C,F,D,D,D,P
1,2023,D,C,P,D,F,D,D,D
2,2021,P,D,P,P,F,P,F,F
2,2020,S,S,S,S,A+,S,A,S
3,2021,B,B,B,B,B+,B+,B+,B+
2,2023,F,F,D,P,D,P,C+,F
2,2022,F,P,P,P,F,F,P,F
3,2021,A,A,A,A,S,A+,A,A+
2,2023,F,F,F,F,F,F,F,F
3,2021,F,F,F,C,F,F,F,F
1,2023,F,P,C,C,P,D,P,F
2,2020,S,S,S,S,S,S,A,S
1,2023,C+,C+,C+,B,C,C,B,B
1,2020,S,A+,A+,A,A,A,S,S
1,2023,S,A+,S,S,S,S,S,S
3,2020,B,B+,C+,A,A,A+,B,B+
2,2021,F,F,F,F,F,P,F,F
3,2023,B,B,B,C,C+,C+,C,B
3,2023,B+,A,A+,B+,B+,A,A,A
1,2022,S,S,B,C+,D,P,A,A
3,2020,C,C+,C+,C+,C,C+,C,C+
2,2020,F,D,P,F,A+,F,F,F
2,2023,B,A,A,B,B,C+,B,B+
2,2021,A,A,B+,B+,B+,A+,S,A+
2,2020,F,P,F,F,F,F,F,F
2,2023,P,D,P,D,D,P,F,P
2,2022,F,F,F,F,F,F,F,F
1,2020,A,A,B+,B,A,B+,A,A
2,2023,P,F,F,F,F,F,F,F
2,2022,P,F,C+,F,F,F,P,F
2,2020,C,C,D,P,D,D,D,C
1,2023,P,F,D,P,D,F,F,F
1,2023,P,C+,S,C+,F,D,C+,C+
3,2020,S,S,A+,S,A+,S,A+,S
2,2021,D,S,A+,S,A,P,B+,A
2,2022,B,S,A,B+,S,B,B,A+
1,2021,A,S,S,P,S,F,S,A
3,2022,A+,S,S,S,S,S,S,S
3,2022,C,C,C+,P,D,C,F,D
1,2020,C,C+,B,B+,C+,C,D,B
3,2020,A,A,S,A,A,B,B+,A+
2,2022,C,P,D,D,P,D,D,C
2,2020,P,P,F,D,P,C,D,F
3,2022,B,C+,B+,B,A,B,B,B+
3,2022,D,C,D,C+,C,B,D,C+
3,2020,F,C+,F,D,C,D,P,F
2,2021,D,F,F,F,F,F,D,F
2,2023,F,P,D,P,C,D,D,F
1,2022,F,P,F,F,F,F,F,F
3,2021,D,C,B,D,F,C,C,D
3,2023,B,C+,B+,B+,A+,C+,B+,B+
3,2023,S,B,A+,S,D,A,S,A+
2,2023,F,F,F,F,F,F,P,F
2,2021,A+,S,S,A,S,S,S,S
3,2021,F,F,F,F,F,F,F,F
3,2021,C,C,S,C+,A+,F,S,B
2,2023,F,P,F,F,B,F,F,F
1,2021,S,S,S,S,S,S,A+,S
2,2020,C,C+,C+,C+,C+,B,C,C+
2,2021,F,P,F,P,P,F,F,F
1,2023,B,A,C,C,C,B,B,B
3,2022,A+,S,S,S,A+,S,S,S
3,2020,B+,P,C,F,P,D,S,D
3,2020,F,P,F,F,F,F,P,F
3,2020,B+,A+,B+,A,B+,C,B,A
2,2023,C,C+,C,C+,C,C+,B,C+
2,2023,F,F,F,D,P,F,F,F
2,2023,F,F,F,F,F,F,F,F
1,2023,B,B+,B+,B,B+,C+,C+,B+
2,2023,F,D,F,F,P,F,F,F
3,2023,B+,C+,C+,B+,B+,C+,C+,B+
2,2023,C,P,C+,C,C,D,F,D
1,2020,B,B+,C+,C+,B+,A,B,B+
1,2023,P,P,D,P,D,P,D,D
3,2022,C+,B,C+,B,B,C+,B,B
3,2021,F,F,F,F,F,F,F,F
2,2021,C,C,D,C,D,F,P,D
2,2023,F,F,P,P,P,P,D,F
1,2021,C+,C+,B,B+,C+,B,B,B
1,2020,S,S,S,S,S,S,S,S
2,2022,D,B,C,C,B,C,C+,C+
1,2023,C+,C,C+,D,B,C+,C,C+
3,2022,B,B+,B,B,C,C+,C+,B
1,2023,A,B+,B+,A,B,B+,B+,A
2,2023,B,A,B+,B+,B,B,C,B+
2,2022,S,B+,S,S,F,S,C,A
1,2021,C,F,P,D,F,P,P,F
1,2023,P,C,C,D,C,C+,F,D
3,2023,C+,C,B+,B+,C+,B,C+,B
3,2022,A+,A,A+,B,A,A,A+,A+
3,2022,F,F,F,F,F,P,F,F
3,2020,S,S,B+,A,A,S,S,S
3,2020,C+,C,B+,C+,B,C,B,B
3,2022,F,F,F,C,F,F,F,F
1,2022,P,D,C+,C+,C+,P,C+,C
3,2022,A+,S,A+,A+,A+,A+,S,S
3,2021,A+,S,S,S,S,A+,S,S
1,2023,S,A+,S,S,S,A+,S,S
1,2023,C+,B,B+,B,B+,B,C+,B+
1,2021,S,S,S,S,S,S,S,S
3,2023,F,F,F,F,F,F,F,F
1,2022,B,B,C,B+,B,B,B+,B+
1,2023,B,B+,A,B+,B+,B+,C+,B+
2,2022,C+,C+,B,B,C+,B+,B,B
1,2021,C+,C+,C+,C,D,P,D,C+
1,2022,A,B,B,B+,B,B,C+,B+
1,2021,F,F,F,F,F,F,F,F
3,2020,D,D,C+,D,C,D,C,C
2,2020,C,C,B,B,B,C+,C+,B
1,2022,C,S,B,P,B+,S,C+,B+
2,2020,P,F,F,F,P,F,F,F
1,2023,P,D,P,P,P,P,D,D
1,2020,C+,C,B,C+,B,D,C,C+
2,2021,S,A+,A+,S,S,A+,S,S
2,2021,A,S,A+,S,S,S,S,S
1,2022,B+,B+,B,B+,B,B,B,B+
3,2020,D,D,F,C,P,P,P,F
1,2022,B+,C+,B,B,B+,A,B+,B+
1,2021,B+,B+,C,B+,B,A,B,B+
2,2020,S,S,S,A+,S,S,S,S
1,2021,F,F,P,F,F,F,F,F
2,2023,C,B,C+,A,C+,C,C+,B
1,2022,C+,C+,C+,B+,C+,B,A+,B
2,2023,B,C+,C+,C,B,C,B,B
2,2020,A+,A+,A,S,S,S,B+,S
2,2023,F,P,F,P,F,P,F,F
2,2021,B+,A,B+,B,B+,B,B,B+
3,2021,A+,B,B+,A,B,C+,B+,A
3,2021,F,F,F,F,F,F,F,F
3,2023,B,B,B+,C+,B+,B+,B,B+
2,2021,P,F,C,D,C,C+,P,P
1,2020,F,F,P,F,F,F,C,F
1,2022,D,C,D,D,B,C+,C,C
3,2021,C+,C+,C,D,C+,D,C+,C+
3,2023,C,D,D,P,D,P,P,D
1,2022,C,D,B,B,C,C,C+,C+
3,2020,B,B+,B,C+,C,B+,B+,B+
1,2022,S,A+,B+,A+,S,A,S,S
3,2022,F,F,F,F,F,F,F,F
3,2023,B+,B+,B+,A,B,B+,B,A
2,2021,C+,C+,C+,B,C,C,C,B
3,2020,C+,B,C+,A,F,A+,C,C+
3,2023,F,P,F,P,D,F,F,F
1,2021,D,D,C,P,C,P,P,C
1,2022,P,F,F,F,D,P,P,F
2,2022,A,C+,D,F,F,D,B,P
3,2020,C,D,D,P,D,D,D,C
1,2020,B+,C+,C+,B,C+,B+,B,B
1,2023,P,P,B,S,F,F,C,D
2,2023,S,B+,C+,B,A+,S,B,A
1,2023,D,D,D,D,C,P,C,C
2,2022,C+,B+,D,C,C+,D,B+,C+
1,2020,F,F,B,F,F,F,F,F
1,2023,F,P,F,F,P,P,F,F
2,2020,A+,F,F,C+,F,F,P,F
2,2022,S,S,S,S,S,S,S,S
1,2022,B,A,B+,B+,C+,B+,A,A
3,2021,P,D,D,D,D,P,C,D
3,2023,C,C,D,B,D,C+,C,C+
2,2022,A,B+,B,B,B,C+,B,B+
3,2021,A+,A+,A,A,B+,A,A+,A+
1,2023,F,P,F,D,F,F,F,F
1,2022,F,S,F,C,A+,S,F,F
1,2022,C+,C+,B,C,B+,C+,C+,B
3,2022,A,S,A,A+,A,B+,B+,A+
1,2022,C+,B+,C,C+,C,D,D,C+
2,2022,A,B,A+,A,A+,A,A+,A+
1,2023,C,S,S,S,A+,S,S,S
3,2023,A+,S,S,S,S,S,S,S
2,2021,C+,C,C+,C+,C+,C,C,C+
3,2022,B+,B,B,B,B,C,B,B+
1,2021,B,B+,A,B,B+,C+,B,B+
1,2022,B,A,A,B+,B+,B+,B+,A
3,2020,P,F,F,F,P,F,F,F
3,2021,C+,D,B,C+,C,C,C+,C+
1,2020,F,F,F,F,F,F,F,F
2,2020,S,S,S,B+,S,A+,S,S
1,2020,B,A,B,C+,C+,C+,B+,B+
1,2023,F,F,F,F,F,F,F,F
3,2020,D,P,D,C,P,P,D,D
1,2021,F,F,F,F,P,F,F,F
1,2022,F,F,F,F,F,F,F,F
1,2020,S,A+,S,S,A+,S,A,S
3,2021,S,B+,D,D,S,B+,B,B+
3,2021,C+,B+,B,B,B,B+,B,B+
1,2022,S,S,A+,S,S,S,S,S
2,2023,B+,B+,B+,C+,B+,C+,B,B+
3,2021,A,C+,C,B+,B,B+,B,B+
1,2022,F,F,F,F,F,F,F,F
3,2022,A,A+,A+,S,A,A+,A,S
1,2023,D,D,C+,C,C,C+,C,C+
3,2022,F,P,D,D,P,D,C+,F
3,2021,F,C,F,F,D,F,F,F
1,2023,F,P,P,F,F,F,D,F
2,2023,A+,C+,S,S,A,A+,D,A+
2,2023,A+,S,S,S,S,S,S,S
1,2023,D,C,D,C,D,P,D,C
3,2020,C,B,C+,C,P,C+,D,C+
2,2022,P,P,F,C,C,P,B,P
2,2022,F,F,F,F,P,F,F,F
1,2021,A+,S,S,S,S,A,S,S
2,2020,F,P,F,F,P,P,F,F
2,2023,F,F,F,F,F,F,D,F
3,2021,A,S,S,S,S,S,S,S
1,2022,A,C+,B+,C,A,C+,B+,B+
3,2021,A,B+,B,B+,A+,A,B+,A
3,2021,F,F,F,F,F,F,F,F
2,2022,A,S,A+,S,A,A,A+,S
1,2022,F,A,F,F,P,C+,D,F
3,2020,S,C,A+,S,A,S,B,A+
2,2020,F,F,F,F,F,P,F,F
2,2021,F,F,C,F,F,P,F,F
2,2020,A,B+,B,B+,A,B+,A,A
3,2023,P,D,D,P,C,C+,C+,C
3,2023,B,B+,B,B+,C,A,A,B+
3,2021,F,C+,D,S,F,D,P,P
1,2020,B+,C,C,C+,B,C+,D,B
3,2020,C,S,C,C,A,C+,P,B
1,2023,F,F,F,F,P,F,F,F
2,2020,A,B+,B+,C+,B+,A,B+,A
1,2020,A,B+,C+,A,A+,B,B+,A
1,2021,B,C+,B,B,B+,B,B,B+
3,2020,A,B+,A,A,B+,A,A,A
3,2022,F,F,F,P,F,F,F,F
2,2020,D,P,F,C,C,D,D,P
3,2022,F,F,P,F,P,F,F,F
2,2020,F,F,F,F,P,P,F,F
2,2023,F,F,P,P,F,F,F,F
1,2020,B+,A,C+,A,C+,B,B+,B+
3,2021,B,C+,C+,A+,B,A,A,B+
3,2022,F,F,F,F,F,F,F,F
2,2023,C,C,C,C,C,C+,C+,C+
3,2022,F,F,F,F,F,F,F,F
1,2022,C,D,D,D,P,C,D,C
1,2020,A,A,B,A+,A+,A+,A+,A+
2,2023,S,A+,A,A,A,A+,A+,S
2,2020,P,D,P,D,F,F,F,F
1,2023,B,A,B+,B,C+,B,C+,B+
2,2022,P,F,C+,F,F,F,F,F
3,2020,C+,C+,P,C,D,B,C+,C+
3,2020,C+,D,C,P,D,P,F,D
3,2023,D,F,F,F,P,B+,C,F
3,2023,C,D,B,C,C,P,F,D
2,2023,F,F,F,F,F,P,F,F
2,2022,B,B,B+,B,B,B,B,B+
3,2021,S,D,F,F,P,S,B,P
1,2021,D,F,P,D,C,D,P,F
1,2021,F,F,F,F,F,F,F,F
3,2023,B+,A+,A+,A,A+,B+,A+,A+
3,2021,P,P,P,D,D,D,C,D
1,2023,A,A,A,A+,A,B+,B,A+
2,2021,S,S,S,S,S,A+,S,S
2,2020,C+,P,C+,P,P,C,D,C
2,2021,D,C+,C,B,C+,C+,D,C+
3,2020,P,C+,C+,C+,C,C,D,C+
2,2022,P,D,F,P,P,F,F,F
1,2023,F,F,F,F,F,F,F,F
1,2023,A,B+,S,A,A+,A+,A+,A+
3,2021,C+,C+,B,C,C+,C,B,B
3,2023,S,S,S,S,S,S,S,S
1,2020,F,F,F,F,P,P,F,F
2,2020,B,B,B,B+,B,C+,B,B+
2,2022,P,P,D,D,P,F,C,P
3,2023,B,C,C,B,C,C+,C,C+
1,2023,F,F,F,F,F,F,F,F
1,2022,P,D,D,D,P,C+,D,C
2,2020,A+,A+,S,A+,A,A,A,S
1,2022,S,B+,A+,A,A,B+,A,A+
2,2022,D,D,D,P,P,P,D,D
3,2021,B,C+,A,B+,A,C,A+,B+
3,2021,D,P,P,D,P,D,P,D
1,2023,D,C,D,C,D,D,P,C
2,2022,F,F,F,F,F,F,F,F
1,2021,D,P,D,C,C+,D,P,C
1,2023,C+,P,B,C,B,C+,D,C+
2,2023,F,F,F,F,F,F,F,F
1,2022,A+,A,A,B+,A+,A,A+,A+
3,2023,A,B+,B,B+,B+,B+,A,A
1,2020,C+,B,B,C+,B,C,B+,B
1,2023,F,P,F,F,P,F,F,F
2,2023,F,F,F,F,F,F,F,F
1,2020,F,F,F,F,F,F,F,F
2,2022,B,B+,B,A,B+,A,S,A
2,2023,P,D,F,D,F,P,F,F
3,2023,C+,C,F,F,D,P,F,F
1,2022,A+,A,S,S,S,A+,A+,S
2,2023,F,F,P,F,F,F,F,F
3,2021,F,D,F,F,F,F,F,F
2,2020,A+,A+,A+,A+,S,A+,S,S
3,2021,S,A,A+,B+,B+,C+,A+,A+
2,2020,F,F,F,F,F,F,F,F
2,2023,B+,B,B+,B+,B,B,B+,B+
3,2023,B,A+,C+,B+,B,B,A,B+
1,2022,F,F,F,C,C,F,P,F
2,2022,A+,A+,A+,S,S,S,S,S
1,2020,S,B,B+,A+,A,B+,A+,A+
2,2022,F,P,D,P,D,D,D,F
2,2023,C,C,D,P,C,C,C+,C
3,2020,C+,C,C+,C+,C,C+,C+,C+
3,2022,F,D,B,A,D,D,F,P
2,2021,F,P,F,F,P,F,F,F
2,2023,C,C+,C,C+,C,C+,C,C+
2,2021,D,P,D,F,P,F,C,F
2,2022,B+,B+,C+,B+,C+,B,B+,B+
2,2023,C,D,P,D,P,C,D,C
1,2023,P,C,P,P,P,C,F,P
3,2022,B,D,C+,B,B,C+,C+,B
1,2022,F,F,F,F,F,F,F,F
2,2021,C,C,C+,C+,C,C+,C,C+
1,2021,A+,A+,A+,A+,A,B+,S,S
1,2020,P,F,C,D,P,F,D,F
1,2023,F,F,F,F,F,F,F,F
1,2022,F,D,P,F,F,F,P,F
1,2023,C,C,D,D,C,D,B,C
1,2022,B+,A,A+,A,A,B+,S,A+
3,2022,A+,A,S,S,A+,S,B,S
2,2021,F,F,F,F,F,F,F,F
1,2021,D,P,D,P,C+,F,P,P
1,2022,C+,C+,B,C,A,B,B,B
1,2023,A,B+,C+,B+,B+,B,B,B+
3,2023,C,F,D,A,S,A,D,C
3,2020,P,P,D,F,C,F,D,F
3,2022,B+,B+,B+,B,A+,B+,A,A
2,2023,F,F,F,F,F,F,F,F
2,2020,C+,C+,C+,C+,B,A,C,B
3,2021,A+,A+,S,A+,A+,S,S,S
3,2020,D,C,D,C,F,C,D,D
1,2023,F,F,F,F,F,F,F,F
1,2022,D,P,F,F,P,P,D,F
2,2022,B,A+,F,S,S,S,S,B+
3,2020,S,S,A+,S,S,S,S,S
1,2022,D,D,D,D,F,P,D,P
1,2020,B+,B,B,B,B+,C+,B,B+
1,2020,P,F,F,F,F,F,P,F
3,2022,D,C,P,P,F,P,F,F
1,2020,C+,C+,C,C+,B,C,C,C+
3,2023,F,P,F,F,F,F,F,F
3,2022,D,D,S,C+,B+,P,A,B
3,2020,D,F,P,P,P,F,P,F
1,2023,S,S,A+,S,S,S,S,S
3,2023,S,C,D,F,B+,D,C,C
1,2021,C,B,C,C+,C,C,C+,C+
1,2021,F,F,P,F,P,F,F,F
1,2023,D,D,P,F,F,P,P,F
3,2020,F,P,F,F,F,D,F,F
1,2023,D,P,D,D,P,D,D,D
3,2022,F,F,P,F,F,D,P,F
3,2022,B+,C+,C+,B,B,C+,C+,B
3,2022,F,A+,A,S,B+,S,C,B
2,2021,F,F,F,F,F,F,F,F
