semester,years,subj1,subj2,subj3,Final_Grade
4,2020,D,D,P,P
4,2020,F,F,F,F
4,2022,P,D,D,P
4,2021,F,P,F,F
4,2020,C,P,C+,C
4,2021,C+,B,B,C+
4,2021,C,B,B,C+
4,2023,A+,B,B,B
4,2020,A,B,A+,B+
4,2020,A+,S,A+,A
4,2022,C,C+,B,C+
4,2021,A+,B+,B+,B+
4,2023,B+,C+,B+,B
4,2021,C,F,P,F
4,2020,B,C,B,C+
4,2021,F,F,F,F
4,2022,C,C,C+,C
4,2023,C+,S,S,A
4,2022,D,C,C,D
4,2020,A,D,C,C
4,2023,C+,B,B+,B
4,2021,B,A,B+,B
4,2022,S,S,S,S
4,2022,F,F,F,F
4,2023,B,C,C+,C+
4,2022,S,S,S,S
4,2021,F,F,F,F
4,2020,F,F,F,F
4,2023,C,B,C+,C
4,2020,F,C,C,F
4,2021,B,B,B+,B
4,2020,C,B,C+,C
4,2021,D,D,C,D
4,2022,C+,D,C,C
4,2021,D,P,D,P
4,2021,F,C,P,F
4,2022,B,B,C+,C+
4,2022,P,F,P,F
4,2022,P,C+,P,P
4,2022,P,D,C,D
4,2021,B,B,A,B
4,2020,A,A+,A,B+
4,2023,S,S,S,S
4,2020,S,D,A,B+
4,2022,F,F,F,F
4,2023,C+,P,C,C
4,2022,B+,A+,B,B
4,2023,S,S,S,S
4,2022,D,P,P,P
4,2022,P,P,F,F
4,2020,D,P,F,F
4,2021,A,C+,A,B+
4,2020,B+,A,A+,B+
4,2023,S,B,S,A+
4,2021,F,F,P,F
4,2021,S,A+,S,S
4,2022,S,A+,S,S
4,2021,B+,F,F,F
4,2021,B+,B+,A,B+
4,2020,A+,S,A,A
4,2023,P,D,D,P
4,2020,C+,C,F,F
4,2022,A+,A,A,B+
4,2020,C+,A,B+,B
4,2021,F,D,D,F
4,2022,F,F,F,F
4,2020,S,S,S,S
4,2022,P,D,D,P
4,2020,B+,B+,B+,B
4,2021,A,A,A,B+
4,2020,S,B+,C+,B
4,2023,B,D,C+,C
4,2022,D,P,F,F
4,2020,F,F,F,F
4,2023,F,F,P,F
4,2020,S,S,S,S
4,2020,F,F,F,F
4,2021,S,B,P,C
4,2021,S,S,S,S
4,2021,A+,S,S,A+
4,2021,D,S,C,C
4,2020,F,F,F,F
4,2020,B+,B,B,B
4,2021,B+,B,B,B
4,2020,C+,C,A,B
4,2023,C,C+,B,C+
4,2023,C,C,C,D
4,2020,P,F,F,F
4,2020,C+,C+,C,C
4,2022,A+,A,A+,A
4,2021,C,F,D,P
4,2022,D,P,D,P
4,2022,F,F,F,F
4,2021,D,C+,C+,C
4,2023,B,B+,A,B
4,2020,P,P,F,F
4,2021,B,D,B,C+
4,2022,C,D,C,D
4,2021,C+,C+,C+,C
4,2020,F,F,F,F
4,2020,P,P,C,D
4,2022,D,D,P,P
4,2021,C+,C,B,C+
4,2022,D,C+,C+,C
4,2023,A,B+,A+,A
4,2021,S,S,S,S
4,2022,F,P,F,F
4,2020,C,F,F,F
4,2020,A,B+,B+,B
4,2020,F,P,F,F
4,2021,B+,S,S,A+
4,2020,F,P,F,F
4,2021,C,D,C+,C
4,2023,S,S,S,S
4,2023,B+,B+,B+,B
4,2020,A,A,A,B+
4,2022,D,C+,D,D
4,2022,B,B,B,C+
4,2021,B+,B+,B+,B
4,2022,B,B+,B+,B
4,2022,C+,C+,C+,C
4,2020,F,C+,F,F
4,2020,F,F,F,F
4,2021,C+,B,A,B
4,2022,A+,S,S,A+
4,2023,F,F,F,F
4,2023,F,D,P,F
4,2020,S,A,A,A
4,2020,B+,S,S,A+
4,2020,S,S,S,S
4,2022,F,F,P,F
4,2020,P,C,P,P
4,2023,C,D,D,D
4,2023,B,C+,C+,C+
4,2021,A,B,A+,B+
4,2022,P,F,F,F
4,2021,P,B,P,P
4,2020,S,S,C+,B+
4,2023,A,A,B+,B+
4,2021,D,D,C,D
4,2021,F,F,F,F
4,2021,C+,C+,B,C+
4,2020,F,F,C+,F
4,2023,C,F,F,F
4,2020,F,F,F,F
4,2021,A,A,C+,C+
4,2020,C,F,P,F
4,2021,C,C+,B,C+
4,2022,S,S,S,S
4,2021,F,F,F,F
4,2021,C+,B,B,C+
4,2022,C+,C+,D,D
4,2023,C+,C,C,C
4,2020,F,A+,B+,P
4,2021,P,F,F,F
4,2020,P,C,D,P
4,2023,P,P,P,P
4,2020,F,F,F,F
4,2020,F,F,F,F
4,2023,C+,C+,C,C
4,2022,D,B,B,C
4,2022,C,B,C,C
4,2021,C,B,B,C+
4,2021,C+,C+,C+,C
4,2023,B+,B,B,B
4,2021,F,F,F,F
4,2022,B+,C+,B,C+
4,2020,F,F,F,F
4,2022,B,S,A+,B+
4,2022,D,D,P,P
4,2022,A+,B+,B,B
4,2022,F,F,F,F
4,2023,C+,B,C+,C
4,2023,F,F,F,F
4,2022,F,P,D,F
4,2021,F,D,F,F
4,2023,C+,F,C,D
4,2021,B,B+,A,B
4,2021,C,P,D,D
4,2020,D,D,F,F
4,2022,B,B,B,C+
4,2021,C+,B,B+,B
4,2021,C,D,D,D
4,2022,B,A,B+,B
4,2020,C,C+,C,C
4,2021,B,B,B+,B
4,2021,F,F,F,F
4,2022,B+,B+,B,B
4,2021,F,F,F,F
4,2020,F,F,F,F
4,2021,B+,B+,A,B+
4,2020,F,F,D,F
4,2021,P,P,F,F
4,2023,D,B,C+,C
4,2022,B+,C+,C,C
4,2020,S,S,A+,A+
4,2020,F,S,C,F
4,2021,C+,C+,B,C+
4,2022,B+,B,B,B
4,2021,S,S,S,S
4,2022,P,P,D,P
4,2023,F,F,F,F
4,2023,F,F,P,F
4,2020,B,C,B,C+
4,2021,P,S,B+,C+
4,2023,A,F,D,D
4,2022,S,C+,P,C
4,2020,D,D,C,D
4,2020,B,C,D,D
4,2023,A+,A+,S,A+
4,2021,C,F,F,F
4,2023,D,D,F,F
4,2022,A,C+,B,B
4,2022,P,P,P,P
4,2023,C,F,P,F
4,2023,B+,C+,B+,B
4,2021,F,F,P,F
4,2023,B+,C+,B,C+
4,2022,A,A+,B,B
4,2023,F,P,F,F
4,2023,F,F,F,F
4,2023,P,P,P,P
4,2020,C+,B,C+,C
4,2021,F,F,F,F
4,2020,S,S,S,S
4,2023,C+,F,F,F
4,2023,D,P,P,P
4,2023,C+,C,D,D
4,2023,A+,B,B,B
4,2020,S,B,A+,A
4,2020,S,A+,S,S
4,2021,A+,C+,B+,B+
4,2020,F,B+,F,F
4,2023,F,F,F,F
4,2020,C+,A+,B,C+
4,2023,F,F,F,F
4,2020,A,S,A,B+
4,2023,S,S,A+,A+
4,2023,P,D,P,P
4,2022,S,S,S,S
4,2021,C+,A,B+,B
4,2021,F,C,P,F
4,2022,F,F,F,F
4,2020,F,P,F,F
4,2020,D,F,F,F
4,2021,D,P,F,F
4,2022,P,F,F,F
4,2023,P,D,P,P
4,2021,C,C,C+,C
4,2023,A,B,C,C+
4,2021,C+,C,B,C+
4,2021,C+,B,C+,C
4,2020,S,A+,S,S
4,2020,P,F,P,F
4,2020,D,D,P,P
4,2022,P,F,F,F
4,2022,F,F,F,F
4,2021,P,C,C,D
4,2021,B,B,C,C
4,2023,F,P,P,F
4,2020,B+,S,S,A+
4,2023,D,F,C,P
4,2020,P,F,C,P
4,2023,B,A+,B,B
4,2023,F,F,F,F
4,2022,F,F,F,F
4,2020,P,F,F,F
4,2023,F,P,P,F
4,2022,P,D,C,D
4,2023,F,F,F,F
4,2022,P,F,F,F
4,2022,A,B,B+,B
4,2020,F,F,F,F
4,2020,D,D,D,D
4,2023,B+,C,B+,B
4,2021,P,D,D,P
4,2020,S,A,A+,A
4,2022,A+,A,B+,B+
4,2021,D,C+,D,D
4,2020,C+,P,A+,B
4,2023,C,C,C,D
4,2022,S,B,S,A+
4,2020,F,F,F,F
4,2023,P,F,F,F
4,2020,C,B,B,C+
4,2021,C,B,B,C+
4,2020,B,A+,B+,B
4,2020,A,A,A,B+
4,2020,C,B,P,D
4,2023,S,C,S,A+
4,2021,C+,C+,C+,C
4,2023,A+,A,S,A+
4,2023,A+,S,S,A+
4,2020,C,C,C,D
4,2020,F,F,F,F
4,2020,C+,P,C,C
4,2023,F,S,S,C
4,2023,F,F,F,F
4,2021,C,D,C+,C
4,2023,P,F,F,F
4,2021,C,C+,C,C
4,2023,B,C,C,C
4,2022,C,D,C+,C
4,2021,B,B,B,C+
4,2020,C,B,B,C+
4,2022,A+,S,A,A
4,2022,C,D,C+,C
4,2021,D,D,D,D
4,2022,P,P,P,P
4,2022,D,D,C,D
4,2020,C+,C+,C+,C
4,2020,B,B,B+,B
4,2023,B,F,C,D
4,2020,F,F,P,F
4,2022,F,F,F,F
4,2020,A,B,A+,B+
4,2020,F,D,P,F
4,2020,D,P,F,F
4,2020,C,B,B,C+
4,2021,C,B,C+,C
4,2023,S,S,S,S
4,2022,S,D,D,C+
4,2023,C+,C+,C+,C
4,2022,B,B,C,C
4,2021,S,A+,B+,B+
4,2023,A,A+,S,A+
4,2021,A+,B+,S,A+
4,2023,A,S,S,A+
4,2023,C,F,C,P
4,2021,P,C,C+,D
4,2021,P,D,P,P
4,2022,D,D,D,D
4,2023,S,A+,A+,A+
4,2020,S,A+,S,S
4,2020,S,P,D,C+
4,2020,B,S,A,B+
4,2023,P,P,P,P
4,2021,F,F,F,F
4,2020,C,C+,C,C
4,2022,B+,B+,B+,B
4,2021,C,F,P,F
4,2023,D,F,F,F
4,2020,A+,A+,B+,B+
4,2023,C,B,A,B
4,2020,B,B,C+,C+
4,2020,S,A,B+,B+
4,2023,C,C+,D,D
4,2023,F,F,F,F
4,2023,F,F,F,F
4,2021,B+,A,B,B
4,2021,C+,B,A,B
4,2023,B+,B+,C+,C+
4,2022,S,A,S,S
4,2021,B+,C+,B,C+
4,2023,B,C,C+,C+
4,2020,F,F,F,F
4,2021,A,S,A,B+
4,2022,B+,A,A,B+
4,2022,P,F,F,F
4,2021,C,F,C+,D
4,2023,A+,A,A+,A
4,2021,B+,B,B+,B
4,2020,S,S,S,S
4,2020,F,F,F,F
4,2022,B,B,C+,C+
4,2023,P,D,D,P
4,2022,S,S,S,S
4,2021,C,C+,B,C+
4,2021,P,B+,P,P
4,2021,C,B,C,C
4,2020,C+,C+,D,D
4,2021,S,S,S,S
4,2023,F,F,F,F
4,2023,F,F,F,F
4,2023,S,A+,S,S
4,2020,P,F,F,F
4,2022,B,A,B+,B
4,2021,S,S,A+,A+
4,2020,F,F,D,F
4,2021,P,F,F,F
4,2021,P,F,F,F
4,2023,A+,A,B+,B+
4,2022,D,D,C,D
4,2022,C+,A+,B,C+
4,2021,B,C+,B+,B
4,2021,P,D,P,P
4,2022,S,B,B+,B+
4,2020,S,S,S,S
4,2022,F,P,F,F
4,2022,A+,A+,A,B+
4,2022,A,B+,A,B+
4,2020,S,A+,S,S
4,2023,S,S,S,S
4,2021,C+,B+,B,C+
4,2020,S,A+,S,S
4,2022,C+,C,C,C
4,2021,D,C,C+,C
4,2021,C+,D,C,C
4,2023,B,A,B,C+
4,2020,S,A,S,S
4,2023,S,S,S,S
4,2023,F,F,F,F
4,2023,F,F,F,F
4,2023,F,D,P,F
4,2020,D,P,D,P
4,2021,F,D,F,F
4,2023,F,F,F,F
4,2021,F,F,F,F
4,2020,C,D,P,P
4,2021,S,F,C,C
4,2023,S,C+,B+,B+
4,2022,A,B+,B+,B
4,2021,F,F,B+,F
4,2023,P,F,D,F
4,2021,C,C+,B,C+
4,2023,F,F,F,F
4,2020,C+,C,C+,C
4,2023,A+,B+,S,A+
4,2020,C+,C+,F,F
4,2023,S,S,S,S
4,2020,A+,B+,B+,B+
4,2021,B,A+,A+,B+
4,2023,B,B,C+,C+
4,2023,B+,A,B+,B
4,2022,B+,C,C+,C+
4,2020,A+,A+,B+,B+
4,2020,C+,A,A,B
4,2023,P,F,F,F
4,2021,B+,A,F,F
4,2020,D,C,C,D
4,2023,P,C,C,D
4,2022,P,F,P,F
4,2020,P,C,F,F
4,2023,B,B,A+,B+
4,2022,F,F,D,F
4,2020,F,F,F,F
4,2023,D,P,F,F
4,2023,C,P,C+,C
4,2020,C,B,C,C
4,2021,F,C,S,C
4,2022,C+,C+,B,C+
4,2021,B,A+,S,A
4,2022,B+,C+,B,C+
4,2022,F,F,F,F
4,2020,D,C+,C,D
4,2020,B+,C+,A,B+
4,2022,F,C,F,F
4,2020,F,F,F,F
4,2022,S,D,S,A+
4,2022,B,B+,B+,B
4,2020,C+,D,C,C
4,2021,C+,C,C+,C
4,2023,P,F,F,F
4,2022,D,D,D,D
4,2021,F,F,F,F
4,2023,B+,B,A,B+
4,2023,F,F,F,F
4,2023,B,A,C+,C+
4,2021,A+,C,S,A+
4,2021,C+,B,C,C
4,2021,P,P,F,F
4,2023,P,D,C,D
4,2021,D,C,D,D
4,2020,B,B+,C+,C+
4,2021,A+,B+,S,A+
4,2023,B,B+,B+,B
4,2022,F,F,F,F
4,2020,D,D,D,D
4,2020,B,D,C,C
4,2020,P,F,F,F
4,2023,S,S,S,S
4,2023,C+,B,C+,C
4,2023,A,A,A,B+
4,2023,P,C,D,P
4,2023,S,A,S,S
4,2023,P,F,P,F
4,2023,B+,B,B,B
4,2020,B+,B+,A,B+
4,2023,F,P,C,F
4,2022,D,D,C+,C
4,2021,F,F,A,F
4,2021,A,A+,B,B
4,2023,D,C,D,D
4,2021,F,F,F,F
4,2020,F,F,F,F
4,2022,F,F,F,F
4,2023,F,D,D,F
4,2022,B+,B,C+,C+
4,2023,B,B+,B,C+
4,2023,S,A+,S,S
4,2022,B,B,C,C
4,2021,C+,C,C+,C
4,2023,D,D,D,D
4,2023,C+,B,B,C+
4,2022,C+,A+,B,C+
4,2022,C,C+,C+,C
4,2020,F,F,P,F
4,2020,A+,P,S,A
4,2022,C,C,C+,C
4,2022,B,A+,A+,B+
4,2022,C,C+,C,C
4,2021,C+,C+,B,C+
4,2023,P,C,D,P
4,2023,C,B+,C+,C
4,2021,A+,A,A+,A
4,2023,D,D,F,F
4,2022,F,C+,F,F
4,2023,F,P,F,F
4,2022,S,S,S,S
4,2021,F,F,F,F
4,2022,F,F,F,F
4,2021,B,C+,B,C+
4,2020,A,B,B,B
4,2020,F,P,C,F
4,2022,D,F,F,F
4,2020,P,B,F,F
4,2023,C+,A,B,C+
4,2020,A+,B,B,B
4,2021,S,S,S,S
4,2021,F,P,F,F
4,2022,S,S,S,S
4,2020,B,C+,B+,B
4,2022,S,S,S,S
4,2021,S,S,S,S
4,2020,A,B,B+,B
4,2021,C+,D,A,B
4,2023,C+,B+,C+,C+
4,2022,B,C+,C+,C+
4,2023,S,S,A+,A+
4,2020,D,P,P,P
4,2023,S,C,C+,B
4,2021,C,C,D,D
4,2021,C,B+,B,C+
4,2021,D,D,P,P
4,2023,B,B,B,C+
4,2021,B,C+,B+,B
4,2020,F,F,F,F
4,2022,A+,A,A,B+
4,2021,P,F,P,F
4,2023,P,F,C,P
4,2022,B,B,C,C
4,2020,A+,P,A+,B+
4,2022,D,D,P,P
4,2022,P,D,D,P
4,2023,C,P,D,D
4,2021,D,P,F,F
4,2020,F,F,P,F
4,2023,B,C,C,C
4,2021,A,B+,B+,B
4,2022,F,F,F,F
4,2022,F,C+,F,F
4,2020,B,C+,B,C+
4,2020,S,C,B+,B+
4,2023,F,F,F,F
4,2023,B+,A,B+,B
4,2023,C,D,P,P
4,2022,A+,S,A+,A
4,2020,F,F,P,F
4,2023,S,S,B+,A
4,2020,F,F,F,F
4,2022,A,B+,A+,A
4,2022,B+,S,A+,A
4,2021,B,B+,B+,B
4,2023,D,F,P,F
4,2022,F,P,F,F
4,2021,F,F,C+,F
4,2023,F,F,F,F
4,2022,P,F,F,F
4,2022,A,A+,A,B+
4,2022,F,P,F,F
4,2022,P,D,D,P
4,2022,B,B,B+,B
4,2023,F,F,F,F
4,2023,B,C,C+,C+
4,2021,C,P,D,D
4,2022,B+,B+,C+,C+
4,2021,D,F,F,F
4,2022,F,F,F,F
4,2020,F,F,F,F
4,2021,B,A,B+,B
4,2020,C,C,C,D
4,2020,A+,A,S,A+
4,2020,C+,C+,B,C+
4,2023,B+,B,B,B
4,2020,F,F,F,F
4,2021,P,P,P,P
4,2022,B,B+,B+,B
4,2020,F,B,B+,P
4,2021,F,F,F,F
4,2021,A+,S,A+,A
4,2022,P,C+,D,P
4,2023,F,C+,S,C
4,2021,S,S,S,S
4,2022,C+,B,B+,B
4,2022,P,C+,D,P
4,2023,B,B+,B,C+
4,2022,P,D,D,P
4,2021,C,B,B,C+
4,2023,B,B,C,C
4,2023,D,F,F,F
4,2023,C+,B,B,C+
4,2023,A+,A+,S,A+
4,2020,B+,B,A,B+
4,2022,D,P,D,P
4,2022,C+,D,B,C+
4,2021,S,S,S,S
4,2020,B,A+,C,C
4,2023,C+,C+,C+,C
4,2021,C,B,D,D
4,2022,F,P,F,F
4,2021,S,S,S,S
4,2021,A,B+,B,B
4,2022,D,D,C,D
4,2022,A,B+,B,B
4,2020,B+,B+,A,B+
4,2020,B,F,D,P
4,2021,D,D,P,P
4,2020,C,D,C,D
4,2023,C,C+,C,C
4,2023,B,B+,B+,B
4,2021,P,P,P,P
4,2020,C+,C+,C,C
4,2020,B+,S,B+,B+
4,2023,B+,C,C,C
4,2020,C,C+,C+,C
4,2020,D,F,C,P
4,2021,S,S,S,S
4,2020,F,F,F,F
4,2022,F,F,F,F
4,2020,B+,A+,S,A+
4,2022,F,F,F,F
4,2020,B,C,C,C
4,2023,A+,A+,A+,A
4,2020,C+,D,C+,C
4,2021,S,S,S,S
4,2022,C+,C,B+,C+
4,2023,A+,S,A,A
4,2022,F,F,P,F
4,2022,F,P,F,F
4,2020,B,B+,A,B
4,2023,A+,A+,B,B
4,2020,F,F,C+,F
4,2023,C,C,C+,C
4,2022,P,D,F,F
4,2020,F,D,P,F
4,2020,B+,C+,B+,B
4,2023,B+,C+,A,B+
4,2023,F,F,F,F
4,2023,F,F,P,F
4,2022,A,B,C+,C+
4,2021,C+,C+,D,D
4,2021,A,A,A,B+
4,2021,D,C,D,D
4,2023,A+,A+,A,B+
4,2021,F,F,F,F
4,2023,P,P,C,D
4,2021,F,P,P,F
4,2020,P,F,F,F
4,2021,F,F,F,F
4,2020,D,F,D,F
4,2022,S,S,S,S
4,2023,D,P,C,D
4,2023,C,C,P,P
4,2021,C,P,P,P
4,2023,B,B+,B,C+
4,2020,S,S,S,S
4,2020,P,F,F,F
4,2022,F,D,A+,D
4,2023,B+,A+,S,A+
4,2023,B+,B+,B+,B
4,2022,P,D,C,D
4,2020,F,F,F,F
4,2022,B,B+,B,C+
4,2022,C+,B+,B,C+
4,2021,B,C,B,C+
4,2021,P,C,C,D
4,2023,B,D,B+,B
4,2022,C,P,D,D
4,2021,B,B,B+,B
4,2023,B+,B,A,B+
4,2023,S,S,A+,A+
4,2022,F,F,F,F
4,2023,D,F,F,F
4,2020,C+,C,D,D
4,2023,F,F,D,F
4,2023,C,C+,C,C
4,2020,B,A,B,C+
4,2022,A+,A+,A+,A
4,2023,C+,C,C,C
4,2023,F,B+,C,F
4,2022,F,P,P,F
4,2023,F,F,F,F
4,2021,S,A+,A+,A+
4,2020,D,F,D,F
4,2021,P,S,C,C
4,2020,D,C,C,D
4,2023,D,D,P,P
4,2023,C,F,D,P
4,2022,F,F,F,F
4,2022,F,P,F,F
4,2020,C+,F,F,F
4,2022,C,D,C+,C
4,2023,S,S,S,S
4,2020,C+,B+,B+,B
4,2022,A,B+,B,B
4,2021,C,C+,D,D
4,2023,F,F,F,F
4,2021,C+,C,C+,C
4,2022,A+,A+,S,A+
4,2023,D,P,F,F
4,2023,B,B,B,C+
4,2022,F,F,F,F
4,2022,B+,B,C,C
4,2021,P,F,P,F
4,2021,A+,S,A+,A
4,2020,B,A,A+,B+
4,2023,F,P,F,F
4,2022,F,F,F,F
4,2023,F,D,C+,F
4,2022,F,F,F,F
4,2022,C+,F,F,F
4,2021,F,F,F,F
4,2021,F,P,F,F
4,2022,D,D,P,P
4,2023,C+,C,B,C+
4,2023,A+,B+,A,B+
4,2020,C,C+,C+,C
4,2022,F,F,F,F
4,2023,B+,B+,B,B
4,2020,S,S,A+,A+
4,2021,B,C+,A,B
4,2020,F,P,D,F
4,2023,A,B+,B,B
4,2022,B,B+,C,C
4,2022,C,D,C,D
4,2020,D,P,P,P
4,2022,B,C,D,D
4,2020,B,B+,B+,B
4,2020,F,F,F,F
4,2022,F,P,F,F
4,2020,F,F,F,F
4,2023,B,B,B,C+
4,2022,C+,B,A,B
4,2020,F,C,F,F
4,2023,C+,C+,B,C+
4,2023,P,D,F,F
4,2021,S,A+,S,S
4,2021,A,S,A+,A
4,2023,A,B+,B+,B
4,2020,P,F,F,F
4,2023,A,B,B,B
4,2022,C+,C+,A,B
4,2022,B+,A,A,B+
4,2022,S,S,S,S
4,2021,F,F,A,F
4,2023,P,D,P,P
4,2021,C+,C+,B,C+
4,2022,C+,C+,C+,C
4,2022,B,B,A,B
4,2020,B,B+,B,C+
4,2022,B+,C+,C+,C+
4,2021,C,S,C+,C+
4,2021,F,F,D,F
4,2020,B,D,C,C
4,2021,D,F,D,F
4,2022,D,D,C+,C
4,2021,P,F,F,F
4,2021,F,F,P,F
4,2023,C+,B,C+,C
4,2023,C,C+,C+,C
4,2022,C,B,A,B
4,2021,B+,A,B+,B
4,2020,C,C,D,D
4,2021,C,P,D,D
4,2020,A,A+,A+,A
4,2023,C+,C+,B+,C+
4,2020,F,F,B,F
4,2020,S,S,S,S
4,2022,P,P,D,P
4,2023,B,C+,B,C+
4,2021,F,C,A+,D
4,2023,P,P,D,P
4,2023,A+,A+,A+,A
4,2020,F,F,F,F
4,2022,D,C,D,D
4,2023,S,S,A+,A+
4,2021,A+,S,S,A+
4,2021,C+,A,B,C+
4,2023,F,F,P,F
4,2023,P,F,P,F
4,2021,C,D,P,P
4,2022,P,F,D,F
4,2020,S,S,A,A
4,2021,C,C+,C,C
4,2023,B,A+,A,B+
4,2020,B+,A,C,C+
4,2020,D,P,P,P
4,2023,C+,C,C,C
4,2021,B+,P,B+,B
4,2020,F,F,F,F
4,2020,C+,C,C+,C
4,2020,C,C+,C+,C
4,2023,C,B,C+,C
4,2020,F,F,F,F
4,2021,F,F,A,F
4,2020,P,P,C,D
4,2021,A,B+,B+,B
4,2021,S,A+,A+,A+
4,2021,C+,C,P,D
4,2020,F,F,F,F
4,2022,P,P,F,F
4,2021,B+,A,A,B+
4,2020,A,S,S,A+
4,2022,A+,A+,S,A+
4,2020,F,F,F,F
4,2020,C,D,D,D
4,2023,B,C+,A,B
4,2023,B,C+,C+,C+
4,2022,A+,S,S,A+
4,2020,C,C,C,D
4,2021,C+,B,B,C+
4,2021,S,A+,A+,A+
4,2020,S,S,B+,A
4,2020,A+,A+,S,A+
4,2022,D,D,C,D
4,2020,A+,S,B,B+
4,2021,F,F,F,F
4,2022,B,P,D,D
4,2021,F,F,F,F
4,2021,F,D,C,F
4,2022,D,D,C,D
4,2021,B+,S,S,A+
4,2020,B+,A,A,B+
4,2023,C+,B,C,C
4,2023,B+,B,B+,B
4,2020,F,F,F,F
4,2022,B+,B+,B+,B
4,2021,C,F,F,F
4,2023,D,F,C,P
4,2022,F,F,P,F
4,2020,P,D,P,P
4,2022,F,P,P,F
4,2023,F,F,F,F
4,2022,C,C,C+,C
4,2023,B,B+,B+,B
4,2020,F,D,F,F
4,2022,S,S,C+,B+
4,2020,F,P,F,F
4,2022,S,S,S,S
4,2020,F,B,F,F
4,2022,F,F,F,F
4,2021,P,F,D,F
4,2023,D,F,F,F
4,2021,D,F,F,F
4,2020,C+,D,C+,C
4,2020,D,F,F,F
4,2021,P,F,F,F
4,2022,C,B,C+,C
4,2023,C+,B,B,C+
4,2023,P,F,B+,D
4,2020,B+,B+,B+,B
4,2021,B+,A+,B,B
4,2020,D,C+,C+,C
4,2020,C+,B+,B+,B
4,2020,B,C,C+,C+
4,2020,B,B,A+,B+
4,2023,A,B+,B,B
4,2021,B,B+,B+,B
4,2023,A+,S,S,A+
4,2021,F,D,P,F
4,2023,C,F,P,F
4,2023,F,D,P,F
4,2022,S,S,A+,A+
4,2020,P,P,F,F
4,2021,A+,A,B,B
4,2020,C,C,C,D
4,2023,B,A,C+,C+
4,2020,F,F,F,F
4,2021,P,F,P,F
4,2022,C,D,D,D
4,2022,F,P,F,F
4,2023,B,C+,C+,C+
4,2020,D,C,C+,C
4,2023,S,S,S,S
4,2022,C+,C,C,C
4,2022,C+,B,C+,C
4,2022,A,S,D,C+
4,2022,B+,B,C+,C+
4,2020,D,P,F,F
4,2021,C+,C+,C+,C
4,2020,D,P,P,P
4,2023,B,B,B,C+
4,2021,A+,S,S,A+
4,2020,C+,D,F,F
4,2020,B+,C,C,C
4,2020,P,D,D,P
4,2021,D,C,D,D
4,2020,F,F,F,F
4,2021,A+,B+,A,B+
4,2021,P,F,F,F
4,2022,F,P,F,F
4,2021,S,A+,S,S
4,2022,P,F,F,F
4,2023,A,B,A+,B+
4,2022,S,B+,A+,A
4,2023,F,F,F,F
4,2020,C,C+,B,C+
4,2023,S,A+,S,S
4,2023,F,F,F,F
4,2020,B+,B,B+,B
4,2021,D,C,B,C
4,2023,C+,D,C,C
4,2023,D,P,D,P
4,2022,C,D,C+,C
4,2022,A,S,A,B+
4,2023,D,D,P,P
4,2022,A+,A+,S,A+
4,2022,C,P,D,D
4,2022,F,S,S,C
4,2021,B+,A+,A+,B+
4,2021,B,B+,A,B
4,2022,F,F,F,F
4,2023,C+,C+,C+,C
4,2023,S,S,S,S
4,2022,F,C,F,F
4,2023,F,S,F,F
4,2023,B,A+,B+,B
4,2022,F,F,P,F
4,2020,S,S,C+,B+
4,2022,C,C+,C,C
4,2021,F,F,F,F
4,2021,B,C+,C,C
4,2023,F,C,P,F
4,2022,F,F,F,F
4,2020,F,F,F,F
4,2023,C+,C,C,C
4,2023,D,C,P,P
4,2022,A+,B+,S,A+
4,2020,C+,A,B+,B
4,2020,P,D,P,P
4,2023,C,C+,D,D
4,2023,F,F,F,F
4,2022,A,C,B,B
4,2022,P,D,C+,D
4,2023,A+,S,A+,A
4,2022,S,S,A+,A+
4,2020,A+,S,S,A+
4,2022,P,D,C,D
4,2023,C+,P,D,D
4,2021,D,D,C,D
4,2020,C+,C+,A,B
4,2021,F,F,P,F
4,2020,F,F,F,F
4,2020,P,F,F,F
4,2023,C,C,C,D
4,2022,B,C+,B,C+
4,2022,F,F,F,F
4,2021,F,B,F,F
4,2022,C,B+,C+,C
4,2020,B+,B+,B+,B
4,2022,B+,B+,B,B
4,2023,F,F,F,F
4,2021,F,F,F,F
4,2022,S,A+,S,S
4,2021,F,F,F,F
4,2022,F,P,F,F
4,2023,F,F,C,F
4,2022,F,F,F,F
4,2023,B+,C+,B,C+
4,2023,S,S,S,S
4,2023,B+,B+,B+,B
4,2022,F,D,F,F
4,2023,B+,B,A,B+
4,2020,S,C+,S,A+
4,2020,B+,B+,B,B
4,2020,B,B,C,C
4,2020,F,F,F,F
4,2023,S,A+,D,C+
4,2022,F,F,F,F
4,2023,A+,A,A+,A
4,2022,D,F,P,F
4,2020,C,D,B,C
4,2020,A+,A+,A,B+
4,2020,D,C,C+,C
4,2022,F,D,C,F
4,2022,F,F,F,F
4,2022,S,B,S,A+
4,2021,C,C,C+,C
4,2021,C,D,P,P
4,2023,F,F,F,F
4,2020,B,C+,B,C+
4,2020,P,F,F,F
4,2023,B+,B,B,B
4,2021,F,F,F,F
4,2023,F,F,F,F
4,2023,F,C,D,F
4,2023,F,F,F,F
4,2020,P,D,D,P
4,2023,F,F,F,F
4,2023,A,B,B+,B
4,2020,D,D,C,D
4,2020,D,P,P,P
4,2022,C,B,F,F
4,2021,C,D,P,P
4,2020,B,C+,B+,B
